,Location,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,full.crop.name,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
1,India,Soybeans,,Soybeans,152,06-Jan,212,Jul-31,182,61,255,09-Dec,362,Dec-28,308.5,108,Soybeans,126.5,22.76417718,77.02326897,58151.80895,1.34666275,25.77735169,88.79597405,18.63558174,6.091698796,33.29426867,331.1030987,1,4,5,8,29.32121785,225.2575281,0.385515619,14.34643293,207.4298556,0.0294648,105,2.669450536,227,1.486375182,3.509765807,1.836564421,3368.981854,2860.981854,2733.981854,2352.981854,2098.981854,9273.602356,7813.602356,7448.602356,6353.602356,5623.602356,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,124,365,124,124,365,124,26.52741618,202.7641436,365,365,365,-365,3,FALSE,3
2,India,Rapeseed,Winter,Rapeseed,274,10-Jan,360,Dec-26,317,87,75,Mar-16,141,May-21,108,67,Rapeseed.Winter,156,26.59635089,79.25906677,57636.95877,-0.167308143,25.19912011,76.41732254,15.58031572,6.47409074,32.49718476,250.6217712,1,12,6,7,21.67890295,10.09654572,0.760487574,11.69331443,183.1131141,0.074131553,319,1.688800225,227,0.091742105,4.859802477,1.792899521,3129.593773,2505.593773,2349.593773,1881.593773,1569.593773,9085.433116,7625.433116,7260.433116,6165.433116,5435.433116,NA,NA,NA,NA,NA,0,0,0,0,0,48,0,0,0,0,0,48,122,365,122,122,365,122,20.06149854,12.31465581,365,365,365,-365,1,TRUE,1X
3,India (North),Cotton,,Cotton,67,03-Aug,166,Jun-15,116.5,100,264,Sep-21,360,Dec-26,312,97,Cotton,195.5,30.33929345,75.17131728,3391.620148,-2.281809127,24.32394822,46.08574317,13.07191435,5.457612701,33.67387584,154.6502614,1,11,6,7,28.81555484,13.91932437,0.691586186,14.07059867,268.5429861,0.057928684,319,0.918759049,227,0.072712527,6.134826912,1.667204452,5621.351779,4837.351779,4641.351779,4053.351779,3661.351779,8709.221061,7249.221061,6884.221061,5789.221061,5059.221061,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,57,84,79,365,79,79,365,79,29.61390357,72.48691034,365,365,365,-365,1,FALSE,1
4,Andhra Pradesh,Rice,,Paddy - I,134,May-14,168,Jun-17,151,35,239,Aug-27,273,Sep-30,256,35,Rice,105,14.54764549,79.57931796,4055.302398,12.25259394,28.44116952,75.16930828,24.06508174,5.386381138,33.16796139,203.3282472,12,2,5,10,32.42143303,53.77237501,0.568260443,13.7024456,240.4174791,0.03126074,45,1.374168793,289,0.296665514,2.378068997,0.986507728,3120.786837,2700.786837,2595.786837,2280.786837,2070.786837,10199.38393,8739.383933,8374.383933,7279.383933,6549.383933,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,168,365,168,168,365,168,30.26010809,89.20680594,365,365,365,365,4,FALSE,4
5,Andhra Pradesh,Rice,,Paddy - I,162,06-Nov,203,Jul-22,182.5,42,309,11-May,336,12-Feb,322.5,28,Rice,140,18.21207001,83.04755575,2363.483365,7.913079806,26.18568648,99.72716402,21.50536327,6.583685217,30.51983533,224.302701,12,12,5,7,28.23512072,191.0614068,0.354688325,14.00770793,195.5309984,0.05664439,45,1.701938104,197,1.355417546,2.231846126,1.52454316,3716.665688,3156.665688,3016.665688,2596.665688,2316.665688,9553.801562,8093.801562,7728.801562,6633.801562,5903.801562,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,174,365,174,174,365,174,26.54761206,187.1637958,365,365,365,365,3,FALSE,3
6,Andhra Pradesh,Rice,,Paddy - I,148,May-28,175,Jun-24,161.5,28,295,Oct-22,315,11-Nov,305,21,Rice,143.5,18.13337278,79.33135484,4357.245999,8.880103801,27.46046373,91.19275561,22.21563833,4.791895935,33.69048345,296.9350323,12,1,5,7,31.29494728,134.3796755,0.488162591,14.00202723,226.7806711,0.030571077,45,2.188310895,197,0.794467277,2.39126528,1.750800645,3985.628192,3409.628192,3265.628192,2833.628192,2545.628192,9846.134637,8386.134637,8021.134637,6926.134637,6196.134637,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,144,365,144,144,365,144,27.73958079,199.1124178,365,365,365,365,3,FALSE,3
7,Andhra Pradesh,Rice,,Paddy - I,148,May-28,182,07-Jan,165,35,260,Sep-17,287,Oct-14,273.5,28,Rice,108.5,17.03496235,78.67059257,5346.457781,9.431394924,27.29224485,66.68679207,22.47492017,2.259361011,33.05066777,177.2062318,12,1,5,9,30.18916836,101.43848,0.453054891,13.93733058,217.1651785,0.01658971,16,1.258199429,197,0.634435007,2.156706674,1.664270412,3015.748149,2579.748149,2470.748149,2143.748149,1925.748149,9824.094997,8364.094997,7999.094997,6904.094997,6174.094997,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,138,365,138,138,365,138,27.66918527,156.9135716,365,365,365,365,3,FALSE,3
8,Andhra Pradesh,Rice,,Paddy - I,183,07-Feb,231,Aug-19,207,49,337,12-Mar,364,Dec-30,350.5,28,Rice,143.5,14.90206407,78.02861408,2100.696409,11.11187666,27.77274007,51.97870531,23.35183897,1.069933204,32.50149627,132.3472607,12,1,5,9,28.03026168,89.10162605,0.34550843,13.6038026,189.3205273,0.007492264,16,0.903668373,258,0.653772453,1.917278723,1.430149157,3800.46964,3224.46964,3080.46964,2648.46964,2360.46964,9995.925055,8535.925055,8170.925055,7075.925055,6345.925055,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,128,365,128,128,365,128,26.39215027,84.8189899,365,365,365,365,3,FALSE,3
9,Andhra Pradesh,Rice,,Paddy - I,141,May-21,224,08-Dec,182.5,84,288,Oct-15,7,01-Jul,330,85,Rice,147.5,17.805254,79.68205592,1849.48123,9.510403777,27.62864295,81.70971418,22.47215244,4.213557983,33.75936318,261.5427056,12,1,5,7,29.53140378,208.0583657,0.388752153,13.97907911,202.9093391,0.031382544,16,1.901100225,197,1.400046741,2.366189626,1.715787357,3989.152182,3397.152182,3249.152182,2805.152182,2509.152182,9897.401855,8437.401855,8072.401855,6977.401855,6247.401855,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,142,365,142,142,365,142,26.95373096,151.7325394,365,365,365,365,3,FALSE,3
10,Andhra Pradesh,Rice,,Paddy - II,127,05-Jul,175,Jun-24,151,49,288,Oct-15,322,Nov-18,305,35,Rice,154,16.5760685,80.85118182,11795.756,12.15992771,28.0683592,82.82278375,23.71003118,2.525100419,32.9010267,203.9235045,1,1,5,7,32.25112801,85.3783413,0.564290587,13.83217794,242.4157142,0.018607796,16,1.431105126,197,0.46786279,2.268930468,1.495701594,4444.330593,3828.330593,3674.330593,3212.330593,2904.330593,10101.01119,8641.011187,8276.011187,7181.011187,6451.011187,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,164,365,164,164,365,164,29.15724264,163.4112116,365,365,365,365,3,FALSE,3
11,Andhra Pradesh,Millet,,Bajra,162,06-Nov,203,Jul-22,182.5,42,253,09-Oct,294,Oct-21,273.5,42,Millet,91,15.47712033,77.9046424,198.9315944,11.02535658,27.91589395,50.23560461,23.37453379,0.342823588,32.86016956,134.9511352,12,1,5,9,29.05750181,86.54659673,0.374867799,13.81905245,196.8653303,0.002527132,16,0.922056553,258,0.603931722,1.926731385,1.573800318,2537.331078,2173.331078,2082.331078,1809.331078,1627.331078,10021.21534,8561.215344,8196.215344,7101.215344,6371.215344,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,126,365,126,126,365,126,27.88275909,110.1907916,365,365,365,365,3,FALSE,3
12,Andhra Pradesh,Millet,,Bajra,141,May-21,189,07-Aug,165,49,239,Aug-27,280,10-Jul,259.5,42,Millet,94.5,14.34367287,79.77231134,42.09245602,12.91748205,28.99425641,81.61211617,24.59959392,5.702336347,33.67821807,237.5599582,1,2,5,10,32.51947606,51.43362548,0.473062361,13.75340818,217.8810446,0.032178464,71,1.712682279,319,0.311735858,2.482565099,0.829125867,2849.408957,2469.408957,2374.408957,2089.408957,1899.408957,10322.25233,8862.252328,8497.252328,7402.252328,6672.252328,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,171,365,171,171,365,171,30.74172623,87.46043562,365,365,365,365,4,FALSE,4
13,Andhra Pradesh,Millet,,Bajra,155,06-Apr,196,Jul-15,175.5,42,232,Aug-20,273,Sep-30,252.5,42,Millet,77,18.48024621,83.40751316,182.4239391,8.567006209,26.77068752,99.83860806,21.96940478,5.66085504,30.96977672,224.1989019,12,12,5,8,29.33366744,173.3021568,0.374006471,14.04750588,200.5077587,0.048854157,350,1.659307302,197,1.182149711,2.266760771,1.514855173,2165.022433,1857.022433,1780.022433,1549.022433,1395.022433,9749.807828,8289.807828,7924.807828,6829.807828,6099.807828,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,173,365,173,173,365,173,28.11717446,214.1913353,365,365,365,365,3,FALSE,3
14,Andhra Pradesh,Millet,,Bajra,127,05-Jul,182,07-Jan,154.5,56,218,08-Jun,273,Sep-30,245.5,56,Millet,91,16.19988292,79.47445226,477.4900319,11.28873411,28.21032617,63.76554982,23.50784544,2.044495013,33.53179131,147.1772447,12,1,5,9,32.23092525,64.63896056,0.5432721,13.83197823,236.9816037,0.014708496,16,0.983004742,258,0.362256094,2.308942677,1.390857063,2663.939007,2299.939007,2208.939007,1935.939007,1753.939007,10105.19794,8645.197941,8280.197941,7185.197941,6455.197941,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,149,365,149,149,365,149,29.66003169,111.5643255,365,365,365,365,3,FALSE,3
15,Andhra Pradesh,Sorghum,,Jowar (Kharif),155,06-Apr,196,Jul-15,175.5,42,260,Sep-17,308,11-Apr,284,49,Sorghum,108.5,16.9199385,78.24210278,2659.215788,9.095747429,27.03848384,68.29530829,22.28707942,2.505808069,32.73607165,180.5391349,12,1,5,9,28.81107123,129.186616,0.405937933,13.93654495,205.9428228,0.018270898,16,1.341102253,197,0.866166711,2.057516779,1.688816568,2939.493526,2503.493526,2394.493526,2067.493526,1849.493526,9748.499725,8288.499725,7923.499725,6828.499725,6098.499725,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,138,365,138,138,365,138,26.96783051,162.7619705,365,365,365,365,3,FALSE,3
16,Andhra Pradesh,Sorghum,,Jowar (Kharif),183,07-Feb,210,Jul-29,196.5,28,295,Oct-22,329,Nov-25,312,35,Sorghum,115.5,15.47712033,77.9046424,1106.421406,11.02535658,27.91589395,50.23560461,23.37453379,0.342823588,32.86016956,134.9511352,12,1,5,9,28.2551081,99.24614764,0.335156182,13.73514303,187.7089978,0.002527132,16,0.922056553,258,0.729937824,1.926731385,1.573800318,3171.329563,2707.329563,2591.329563,2243.329563,2011.329563,10021.21534,8561.215344,8196.215344,7101.215344,6371.215344,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,126,365,126,126,365,126,27.33904796,101.4070378,365,365,365,365,3,FALSE,3
17,Andhra Pradesh,Sorghum,,Jowar (Kharif),162,06-Nov,189,07-Aug,175.5,28,253,09-Oct,273,Sep-30,263,21,Sorghum,87.5,15.57332477,79.57223417,80.89998195,12.03082491,28.45337033,65.37673102,23.89976652,2.582667585,33.45168358,167.3248275,12,1,5,10,31.04015286,78.45094384,0.426137777,13.84313728,208.7482236,0.018208319,16,1.114173309,288,0.504337165,2.320867991,1.218076014,2582.939251,2230.939251,2142.939251,1878.939251,1702.939251,10187.20586,8727.205861,8362.205861,7267.205861,6537.205861,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,158,365,158,158,365,158,29.44541952,110.6134216,365,365,365,365,3,FALSE,3
